step,obj_values,accepted
22,550.93424,false
22,590.752685,false
22,590.752685,false
22,566.616773,false
22,555.339929,false
22,590.752685,false
22,555.339929,false
22,566.616773,false
22,590.752685,false
22,566.616773,false
22,590.752685,false
22,537.105934,true
22,590.752685,false
22,537.105934,true
22,590.752685,false
23,590.752685,false
23,590.752685,false
23,590.752685,false
23,537.105934,true
23,537.105934,true
23,590.752685,false
23,590.752685,false
23,537.105934,true
23,550.93424,false
23,555.339929,false
23,550.93424,false
23,550.93424,false
23,566.616773,false
23,566.616773,false
23,590.752685,false
24,590.752685,false
24,590.752685,false
24,555.339929,false
24,555.339929,false
24,590.752685,false
24,590.752685,false
24,590.752685,false
24,590.752685,false
24,590.752685,false
24,550.93424,false
24,590.752685,false
24,590.752685,false
24,537.105934,true
24,566.616773,false
24,555.339929,false
25,537.105934,true
25,566.616773,false
25,590.752685,false
25,590.752685,false
25,550.93424,false
25,555.339929,false
25,537.105934,true
25,537.105934,true
25,566.616773,false
25,555.339929,false
25,550.93424,false
25,590.752685,false
25,555.339929,false
25,555.339929,false
25,566.616773,false
26,555.339929,false
26,555.339929,false
26,590.752685,false
26,555.339929,false
26,590.752685,false
26,550.93424,false
26,590.752685,false
26,555.339929,false
26,555.339929,false
26,550.93424,false
26,555.339929,false
26,590.752685,false
26,590.752685,false
26,566.616773,false
26,566.616773,false
27,590.752685,false
27,555.339929,false
27,590.752685,false
27,537.105934,true
27,590.752685,false
27,550.93424,false
27,550.93424,false
27,550.93424,false
27,590.752685,false
27,550.93424,false
27,555.339929,false
27,550.93424,false
27,590.752685,false
27,555.339929,false
27,590.752685,false
27,537.105934,true
28,590.752685,false
28,555.339929,false
28,590.752685,false
28,590.752685,false
28,590.752685,false
28,590.752685,false
28,550.93424,false
28,566.616773,false
28,550.93424,false
28,566.616773,false
28,590.752685,false
28,590.752685,false
28,550.93424,false
28,590.752685,false
28,550.93424,false
29,550.93424,false
29,590.752685,false
29,590.752685,false
29,590.752685,false
29,590.752685,false
29,590.752685,false
29,590.752685,false
29,566.616773,false
29,550.93424,false
29,590.752685,false
29,555.339929,false
29,590.752685,false
29,566.616773,false
29,555.339929,false
29,590.752685,false
29,590.752685,false
29,590.752685,false
29,550.93424,false
30,590.752685,false
30,590.752685,false
30,555.339929,false
30,537.105934,true
30,590.752685,false
30,566.616773,false
30,550.93424,false
30,566.616773,false
30,555.339929,false
30,555.339929,false
30,537.105934,true
30,555.339929,false
30,590.752685,false
31,555.339929,false
31,537.105934,true
31,555.339929,false
31,590.752685,false
31,537.105934,true
31,590.752685,false
31,555.339929,false
31,566.616773,false
31,550.93424,false
31,555.339929,false
