csn,Scenario,Choice_,RECRE,PRICE,CF,CF_car,CF_stay,CF_pt,CF_age,CF_male,CF_income,CF_child,CF_bike,BIKELANE,BIKESEP,DIST6,DIST3,FREQ_HIGHER,FREQ_HIGHEST,UNGUARDED,GUARDED,ID_1
23,1,1,2,5,1,0,0,5,22,1,2,1,1,1,0,0,0,0,1,0,0,3
23,2,0,2,6,1,0,0,5,22,1,2,1,1,1,0,0,0,0,0,1,0,3
23,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24,1,0,1,2,1,0,0,5,22,1,2,1,1,0,1,1,0,0,1,0,0,3
24,2,1,3,1,1,0,0,5,22,1,2,1,1,1,0,1,0,0,1,0,0,3
24,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25,1,1,3,1,1,0,0,5,22,1,2,1,1,0,1,0,0,0,0,0,0,3
25,2,0,3,6,1,0,0,5,22,1,2,1,1,0,0,0,1,0,0,0,0,3
25,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
26,1,0,1,4,1,0,0,5,22,1,2,1,1,0,0,0,1,0,0,0,1,3
26,2,1,3,4,1,0,0,5,22,1,2,1,1,0,1,0,1,0,1,0,1,3
26,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
27,1,0,3,1,1,0,0,5,22,1,2,1,1,1,0,0,0,0,0,0,1,3
27,2,1,1,2,1,0,0,5,22,1,2,1,1,0,1,0,0,1,0,1,0,3
27,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
28,1,0,1,5,1,1,0,5,26,0,1,1,1,1,0,0,1,0,0,0,0,4
28,2,1,1,5,1,1,0,5,26,0,1,1,1,0,0,1,0,0,0,0,1,4
28,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
29,1,0,3,3,1,1,0,5,26,0,1,1,1,0,0,0,0,0,0,0,0,4
29,2,1,2,1,1,1,0,5,26,0,1,1,1,1,0,1,0,1,0,0,1,4
29,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
30,1,0,1,5,1,1,0,5,26,0,1,1,1,0,1,0,0,1,0,0,1,4
30,2,1,1,3,1,1,0,5,26,0,1,1,1,1,0,0,1,1,0,0,1,4
30,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
31,1,0,3,4,1,1,0,5,26,0,1,1,1,0,0,1,0,1,0,0,1,4
31,2,0,2,6,1,1,0,5,26,0,1,1,1,1,0,0,0,0,1,0,0,4
31,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
32,1,0,2,2,1,1,0,5,26,0,1,1,1,0,1,0,1,1,0,0,1,4
32,2,0,3,2,1,1,0,5,26,0,1,1,1,0,1,0,0,0,0,0,0,4
32,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
33,1,1,3,4,1,1,0,5,26,0,1,1,1,1,0,0,1,0,1,1,0,4
33,2,0,2,1,1,1,0,5,26,0,1,1,1,0,1,1,0,0,0,0,0,4
33,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
34,1,0,2,6,1,1,0,5,26,0,1,1,1,0,1,0,0,0,1,1,0,4
34,2,1,3,4,1,1,0,5,26,0,1,1,1,0,1,0,1,1,0,1,0,4
34,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
35,1,0,1,1,1,1,0,5,26,0,1,1,1,1,0,1,0,0,1,1,0,4
35,2,1,1,3,1,1,0,5,26,0,1,1,1,0,0,0,1,0,1,1,0,4
35,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
36,1,0,2,6,1,1,0,5,26,0,1,1,1,0,0,1,0,0,0,0,0,4
36,2,1,3,2,1,1,0,5,26,0,1,1,1,0,0,0,0,0,1,1,0,4
36,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
46,1,0,2,5,1,0,1,5,26,0,1,1,1,1,0,1,0,0,0,0,1,5
46,2,0,2,1,1,0,1,5,26,0,1,1,1,0,0,0,1,1,0,0,0,5
46,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
47,1,0,2,5,1,0,1,5,26,0,1,1,1,0,0,0,0,0,0,1,0,5
47,2,0,1,3,1,0,1,5,26,0,1,1,1,0,1,1,0,0,1,0,0,5
47,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
48,1,0,1,3,1,0,1,5,26,0,1,1,1,1,0,0,0,1,0,0,0,5
48,2,0,2,5,1,0,1,5,26,0,1,1,1,0,1,0,1,0,1,0,0,5
48,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
49,1,0,1,4,1,0,1,5,26,0,1,1,1,0,0,0,0,1,0,1,0,5
49,2,1,3,2,1,0,1,5,26,0,1,1,1,1,0,1,0,0,0,1,0,5
49,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
50,1,0,1,4,1,0,1,5,26,0,1,1,1,0,1,0,1,1,0,0,0,5
50,2,0,2,1,1,0,1,5,26,0,1,1,1,0,0,0,0,1,0,1,0,5
50,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
51,1,0,3,2,1,0,1,5,26,0,1,1,1,0,0,0,1,0,1,0,1,5
51,2,0,3,6,1,0,1,5,26,0,1,1,1,0,0,1,0,1,0,1,0,5
51,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
52,1,0,3,6,1,0,1,5,26,0,1,1,1,0,1,0,1,0,1,0,0,5
52,2,0,1,3,1,0,1,5,26,0,1,1,1,0,1,0,0,0,1,0,1,5
52,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
53,1,0,3,6,1,0,1,5,26,0,1,1,1,1,0,1,0,0,1,0,1,5
53,2,1,3,2,1,0,1,5,26,0,1,1,1,1,0,0,1,0,0,0,1,5
53,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
54,1,0,2,1,1,0,1,5,26,0,1,1,1,0,1,1,0,0,0,1,0,5
54,2,1,1,4,1,0,1,5,26,0,1,1,1,1,0,0,0,0,0,0,1,5
54,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
55,1,1,2,3,1,0,0,5,35,0,1,2,1,1,0,0,1,1,0,0,1,6
55,2,0,1,4,1,0,0,5,35,0,1,2,1,1,0,1,0,0,1,1,0,6
55,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
56,1,1,3,6,1,0,0,5,35,0,1,2,1,0,1,1,0,1,0,1,0,6
56,2,0,1,5,1,0,0,5,35,0,1,2,1,0,0,1,0,1,0,0,0,6
56,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
57,1,1,2,3,1,0,0,5,35,0,1,2,1,0,0,0,1,1,0,1,0,6
57,2,0,2,3,1,0,0,5,35,0,1,2,1,0,0,0,1,0,0,0,1,6
57,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
58,1,0,1,2,1,0,0,5,35,0,1,2,1,0,0,1,0,0,1,1,0,6
58,2,1,2,5,1,0,0,5,35,0,1,2,1,0,1,0,0,1,0,0,1,6
58,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
59,1,1,2,5,1,0,0,5,35,0,1,2,1,1,0,0,0,0,1,0,0,6
59,2,0,2,6,1,0,0,5,35,0,1,2,1,1,0,0,0,0,0,1,0,6
59,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
60,1,1,1,2,1,0,0,5,35,0,1,2,1,0,1,1,0,0,1,0,0,6
60,2,0,3,1,1,0,0,5,35,0,1,2,1,1,0,1,0,0,1,0,0,6
60,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
61,1,1,3,1,1,0,0,5,35,0,1,2,1,0,1,0,0,0,0,0,0,6
61,2,0,3,6,1,0,0,5,35,0,1,2,1,0,0,0,1,0,0,0,0,6
61,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
62,1,0,1,4,1,0,0,5,35,0,1,2,1,0,0,0,1,0,0,0,1,6
62,2,1,3,4,1,0,0,5,35,0,1,2,1,0,1,0,1,0,1,0,1,6
