id,nij,alt,altij,choice,choicet,ptatt,cardays,taxidc,taxi80,taxi200,taxi300,taxi400,bikem,bikemw,bike30,bike30w,bike60,bike60w,scotm,scotmw,scot30,scot30w,scot60,scot60w,carpool,rtinfo,aiinfo,credit,points,subfee,gender,agecont,agez,agey,agex,ageb,agesilt,age1824,age2534,age3544,age4554,age5564,age65p,highed,mided,lowed,std,stduni,stdsec,carlic,motlic,othlic,nolic,ccars,cmot,cbike,cebike,cescot,cmic,hhinc,inc1,inc500,inc1250,inc3000,hhsize,hh15,hh1518,hh18,alone,couple,haskids,livpar,livrel,livsha,maasawar,prefsub,prefpayg,interest,fwt,ptw,scholar,volunt,caret,ret,unemp,wfhdays,wfhusr,phoncom,phonunc,appnav,apptra,apppay,cardusr,digpay,aftpay,worktyp,shoptyp,walktyp,mictyp,pttyp,cartyp,multmod,ptcost,fuelcost,parkcost,tollcost,rhcost,miccosts,maincost,currcost,postcode,postcend,ptappusr,rhappusr,nvappusr,mcappusr,csappusr,pkappusr,noappusr,pgchoice,prefno1,prefno2,prefno3,prefno4,prefno5,prefno6,prefno7,prefno8,prefno9,prefno10,prefno11,prefno12,prefno13,prefno14,maxwtp,travneed,trvneed1,trvneed2,trvneed3,trvneed4,hhneed,variable
6,2,maas,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,50,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,1,1,1,1,3,1875,0,0,1,0,3,0,0,3,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,5,50,125,125,0,0,125,305,4122,4122,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,2,current,1,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,305,0,50,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,1,1,1,1,3,1875,0,0,1,0,3,0,0,3,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,5,50,125,125,0,0,125,305,4122,4122,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7,2,maas,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,67,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,1,2,1,1,4,2750,0,0,1,0,2,0,0,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,7,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,150,225,25,0,0,125,400,4115,4029,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,2,current,1,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,400,1,67,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,1,2,1,1,4,2750,0,0,1,0,2,0,0,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,7,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,150,225,25,0,0,125,400,4115,4029,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
8,2,maas,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,18,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,2,1,1,4,225,1,0,0,0,4,1,0,3,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,5,0,25,0,0,0,0,30,4305,4305,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
8,2,current,1,1,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,0,18,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,2,1,1,4,225,1,0,0,0,4,1,0,3,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,5,0,25,0,0,0,0,30,4305,4305,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
9,2,maas,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3,1,1,1,1,3,1375,0,0,1,0,2,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,50,175,0,0,0,75,225,4515,4515,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2,current,1,1,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,225,1,74,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3,1,1,1,1,3,1375,0,0,1,0,2,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,50,175,0,0,0,75,225,4515,4515,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10,2,maas,2,1,1,1,3,80,1,0,0,0,60,0,0,0,1,0,60,0,0,0,1,0,1,1,0,1,1,380,1,52,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,3,1,2,1,1,4,350,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,15,50,125,125,125,125,125,565,4218,4000,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1
10,2,current,1,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,565,1,52,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,3,1,2,1,1,4,350,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,15,50,125,125,125,125,125,565,4218,4000,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,2
