choice,FSG_1,FSG_2,FSG_3,FSG_4,FSG_5,FSO_1,FSO_2,FSO_3,FSO_4,FSO_5,TT_1,TT_2,TT_3,TT_4,TT_5
1,2304,324,0,666,3400,8249,6322,40,1355,17619,0,0,2128,1600,600
4,3610,585,258,350,2304,5189,781,813,1083,8249,646,0,493,0,0
3,1447,552,401,2705,350,2000,3932,4547,89841,1083,896,0,984,600,0
2,106,1309,7024,772,552,327,2066,12895,1424,3932,836,0,836,1008,0
5,1190,552,1447,20452,2705,1597,3932,2000,83361,89841,1776,900,1156,1300,1300
2,1309,7024,2469,772,2322,2066,12895,17977,1424,867,0,285,495,356,480
5,1309,889,1199,267,4358,2066,480,13735,3670,16200,0,0,0,829,476
1,4358,889,1199,267,2939,16200,480,13735,3670,2361,476,0,0,829,829
5,267,91,1199,4358,889,3670,401,13735,16200,480,808,0,268,276,268
5,267,91,889,1199,4358,3670,401,480,13735,16200,808,0,476,476,0
3,889,91,4358,1199,267,480,401,16200,13735,3670,268,0,276,268,808
5,267,91,889,1199,4358,3670,401,480,13735,16200,829,169,560,560,169
5,1381,91,889,1199,4358,1629,401,480,13735,16200,743,169,560,560,169
5,1199,91,4358,889,898,13735,401,16200,480,56296,560,169,169,560,1296
4,889,91,4358,898,1199,480,401,16200,56296,13735,560,169,169,1296,560
1,1617,217,1816,233,889,1259,216,3919,1470,480,0,0,609,0,310
3,1816,217,1617,233,163,3919,216,1259,1470,1310,1884,0,0,0,2200
1,1617,217,1816,233,163,1259,216,3919,1470,1310,0,0,609,0,759
1,3418,217,1617,233,1816,6650,216,1259,1470,3919,1075,0,0,0,609
2,217,1617,1816,233,163,216,1259,3919,1470,1310,0,0,1884,0,2200
4,233,217,1816,1617,163,1470,216,3919,1259,1310,0,0,609,0,759
4,233,217,1617,1223,1816,1470,216,1259,42422,3919,0,0,0,919,609
3,1617,217,1223,233,1816,1259,216,42422,1470,3919,0,0,919,0,609
2,217,1617,1816,233,163,216,1259,3919,1470,1310,0,0,1884,0,2200
1,1617,217,1816,233,163,1259,216,3919,1470,1310,0,0,609,0,759
2,217,1617,1816,233,163,216,1259,3919,1470,1310,0,0,609,0,759
3,1816,217,1617,233,163,3919,216,1259,1470,1310,1884,0,0,0,2200
3,1816,217,1617,233,163,3919,216,1259,1470,1310,1884,0,0,0,2200
4,1730,1184,3153,526,233,15564,228,6816,3918,1470,1180,972,1180,0,0
2,834,629,1044,1622,526,1250,779,4743,7598,3918,0,0,0,708,0
5,1817,834,1044,1622,629,1498,1250,4743,7598,779,882,0,0,708,0
5,1622,629,834,1044,898,7598,779,1250,4743,56296,708,0,0,0,1109
4,1044,629,834,898,1622,4743,779,1250,56296,7598,0,0,0,1109,708
3,1044,629,834,1622,1817,4743,779,1250,7598,1498,0,0,0,708,882
3,1044,629,834,1622,1817,4743,779,1250,7598,1498,0,0,0,708,882
1,834,629,1044,1622,1817,1250,779,4743,7598,1498,0,0,0,708,882
2,629,834,1044,1622,1817,779,1250,4743,7598,1498,0,0,0,708,882
2,1184,3153,526,1730,1190,228,6816,3918,15564,1597,740,1372,1328,1372,1368
1,1730,1184,526,3153,1190,15564,228,3918,6816,1597,1372,740,1328,1372,2964
3,1622,403,3708,347,526,7598,40,6001,431,3918,740,740,552,2100,1328
5,2473,403,1622,347,3708,1131,40,7598,431,6001,857,261,261,724,173
5,1622,629,1044,575,834,7598,779,4743,104,1250,740,1120,1120,2000,1120
3,834,629,4160,1044,575,1250,779,19515,4743,104,393,393,1290,393,762
2,1548,1028,1491,2932,629,12008,4333,690,2181,779,0,0,888,1412,1120
1,1028,81,1491,1548,1556,4333,491,690,12008,434,265,0,0,265,511
3,1491,1548,1028,2932,1556,690,12008,4333,2181,434,265,0,0,407,511
1,1124,1028,1548,1491,2932,2413,4333,12008,690,2181,482,0,0,265,407
1,834,629,1044,1622,1817,1250,779,4743,7598,1498,0,0,0,708,882
2,629,834,1044,1622,1817,779,1250,4743,7598,1498,0,0,0,708,882
5,1622,629,834,1044,898,7598,779,1250,4743,56296,708,0,0,0,1109
2,629,898,834,1044,1622,779,56296,1250,4743,7598,0,1109,0,0,708
3,1044,629,834,1622,1817,4743,779,1250,7598,1498,0,0,0,708,882
5,1817,629,1044,1622,834,1498,779,4743,7598,1250,882,0,0,708,0
3,1044,629,834,1622,1817,4743,779,1250,7598,1498,0,0,0,708,882
5,1817,629,1044,1622,834,1498,779,4743,7598,1250,882,0,0,708,0
5,1817,629,1044,1622,834,1498,779,4743,7598,1250,2996,0,0,2392,0
4,1622,629,1044,834,1817,7598,779,4743,1250,1498,2392,0,0,0,2996
3,1044,834,629,1622,1817,4743,1250,779,7598,1498,0,0,0,2392,2996
3,1044,834,629,1622,1817,4743,1250,779,7598,1498,0,0,0,2392,2996
4,1044,629,834,898,1622,4743,779,1250,56296,7598,0,0,0,1109,708
3,834,629,898,1044,1622,1250,779,56296,4743,7598,0,0,1109,0,708
4,1622,629,1044,834,1817,7598,779,4743,1250,1498,708,0,0,0,882
2,629,834,1044,1622,1817,779,1250,4743,7598,1498,0,0,0,708,882
1,4054,646,2274,1760,1813,2456,194,8347,14651,2566,1466,397,397,397,689
2,646,4054,2274,1760,1813,194,2456,8347,14651,2566,397,1466,397,397,689
1,2725,946,63,0,646,3107,236,1050,5333,194,425,0,651,651,397
4,0,854,63,2725,3610,5333,263,1050,3107,5189,488,0,488,549,631
3,1184,3153,1730,526,946,228,6816,15564,3918,236,1188,900,900,1528,0
3,1184,3153,1730,526,1188,228,6816,15564,3918,3200,1188,900,900,1528,2492
2,1730,3153,1184,526,1188,15564,6816,228,3918,3200,900,900,1188,1528,2492
5,1188,1730,1184,526,3153,3200,15564,228,3918,6816,2492,900,1188,1528,900
